Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
 1032, 1033, 955964.1626, 1949558.8643,         7.184528,         1.266559,         5.672480,        -0.138875,         0.030447,        -4.561226,         0.082968,         0.017467,         4.750021,         0.038673,         0.024867,         1.555206,         0.008499,         0.028556,         0.297617,         0.037854,         0.031046,         1.219315,        -2.772202,         0.698314,        -3.969852,        -0.000991,         0.042158,        -0.023515,        -3.618810,         1.335090,        -2.710537,         0.007708,         0.001151,         6.698457,         0.348719,         0.046191,         7.549522,        -0.001460,         0.022684,        -0.064348,         0.912211,         0.061797,        14.761398,        -0.137744,         0.045549,        -3.024077,         4.848189,         4.893911,        -0.045722,        -1.028083,         0.908158,         0.433484,         0.001931
 1033, 1034, 955955.0691, 1945435.3653,        10.381183,         1.426924,         7.275218,        -0.106565,         0.026514,        -4.019128,         0.045981,         0.015795,         2.911115,         0.026874,         0.015834,         1.697188,         0.010413,         0.026341,         0.395303,         0.065338,         0.025378,         2.574628,        -4.532380,         0.827627,        -5.476357,        -0.116077,         0.048488,        -2.393934,        -6.945356,         2.626219,        -2.644622,         0.001786,         0.001153,         1.548567,        -0.502396,         0.140320,        -3.580360,         0.099045,         0.064357,         1.538992,         0.890804,         0.041085,        21.682059,        -0.118817,         0.030582,        -3.885243,         4.968483,         4.956165,         0.012318,         0.216497,         0.834801,         0.072704,         0.000009
 1034, 1035, 956050.9768, 1957948.2728,         2.571108,         1.051607,         2.444933,        -0.263452,         0.029697,        -8.871436,         0.081551,         0.016316,         4.998064,         0.013306,         0.016390,         0.811826,        -0.112172,         0.027282,        -4.111570,        -0.079502,         0.025867,        -3.073449,         0.344177,         0.521247,         0.660296,        -0.020026,         0.034744,        -0.576395,        -0.078948,         0.382524,        -0.206386,         0.002686,         0.001653,         1.625077,         0.565530,         0.312058,         1.812258,         0.074281,         0.043969,         1.689395,         0.870641,         0.068634,        12.685232,        -0.003549,         0.034002,        -0.104387,         4.459133,         4.488950,        -0.029817,        -0.562390,         0.887739,         0.194845,         0.000183
 1035, 1036, 955989.9551, 1944704.7887,        12.797415,         1.579045,         8.104529,        -0.121675,         0.025795,        -4.717050,         0.059840,         0.014731,         4.062182,         0.011293,         0.014100,         0.800921,        -0.017501,         0.024080,        -0.726793,         0.044913,         0.023334,         1.924770,        -5.207026,         0.835010,        -6.235886,        -0.057695,         0.055587,        -1.037911,       -12.231620,         3.391690,        -3.606349,         0.003925,         0.001333,         2.943548,         0.563642,         0.310082,         1.817722,        -0.300893,         0.124191,        -2.422817,         0.930706,         0.038574,        24.127537,        -0.108710,         0.031933,        -3.404364,         4.798266,         4.794443,         0.003823,         0.071851,         0.843593,         0.189251,         0.000003
 1036, 1037, 956007.5367, 1945778.0046,         9.090009,         1.390570,         6.536897,        -0.101742,         0.026572,        -3.828860,         0.042301,         0.015924,         2.656426,         0.030138,         0.016084,         1.873775,         0.010124,         0.026532,         0.381577,         0.066248,         0.025441,         2.603998,        -3.858275,         0.828198,        -4.658639,        -0.127797,         0.047625,        -2.683372,        -7.894364,         2.520079,        -3.132586,         0.001939,         0.001153,         1.680646,        -0.688139,         0.130776,        -5.261971,         0.168893,         0.062263,         2.712558,         0.887869,         0.041508,        21.390470,        -0.117618,         0.029585,        -3.975606,         4.916912,         4.890178,         0.026734,         0.482289,         0.842906,         0.119929,         0.000076
 1037, 1038, 956012.414, 1945617.8888,         9.716806,         1.410313,         6.889820,        -0.103558,         0.026553,        -3.900056,         0.043572,         0.015890,         2.742064,         0.028351,         0.015986,         1.773489,         0.011527,         0.026532,         0.434471,         0.066524,         0.025429,         2.616068,        -4.198149,         0.831590,        -5.048343,        -0.126669,         0.047976,        -2.640272,        -7.282411,         2.545625,        -2.860756,         0.001819,         0.001148,         1.584144,        -0.663641,         0.136050,        -4.877910,         0.147259,         0.063114,         2.333212,         0.888905,         0.041394,        21.474113,        -0.119122,         0.030065,        -3.962107,         4.913782,         4.912154,         0.001628,         0.030609,         0.840621,         0.189263,         0.000001
 1038, 1039, 956014.1346, 1942098.639,         4.912810,         1.346800,         3.647765,        -0.136984,         0.028557,        -4.796890,         0.113277,         0.016827,         6.731984,        -0.018403,         0.017062,        -1.078589,        -0.048536,         0.030880,        -1.571780,        -0.031642,         0.025670,        -1.232646,        -1.412835,         0.710933,        -1.987296,         0.006826,         0.036010,         0.189561,        -5.254479,         1.162950,        -4.518232,         0.000252,         0.000982,         0.256919,        -0.228774,         0.157550,        -1.452077,         0.107984,         0.058176,         1.856153,         1.044477,         0.043584,        23.964763,        -0.068923,         0.027689,        -2.489167,         4.865849,         4.844025,         0.021824,         0.406830,         0.904716,         0.175755,         0.000084
 1039, 1040, 956089.1847, 1942996.6249,         9.720811,         1.366770,         7.112249,        -0.152124,         0.027742,        -5.483533,         0.105090,         0.016402,         6.407116,        -0.013006,         0.015325,        -0.848638,        -0.039872,         0.029323,        -1.359732,        -0.017157,         0.025515,        -0.672398,        -3.560389,         0.690624,        -5.155321,        -0.091531,         0.041476,        -2.206828,        -8.443112,         1.314408,        -6.423510,         0.001878,         0.000981,         1.914575,         0.048548,         0.191860,         0.253038,        -0.113859,         0.078145,        -1.457024,         1.016489,         0.042493,        23.921124,        -0.086341,         0.034058,        -2.535080,         5.374748,         5.195029,         0.179719,         3.487997,         0.890678,         0.239585,         0.009153
 1040, 1041, 956175.6067, 1957735.3309,         2.854394,         1.053262,         2.710052,        -0.258875,         0.029464,        -8.786141,         0.080148,         0.016278,         4.923748,         0.009391,         0.016276,         0.576995,        -0.112205,         0.026916,        -4.168743,        -0.076170,         0.025529,        -2.983642,         0.202160,         0.520838,         0.388144,        -0.028318,         0.034566,        -0.819259,        -0.106792,         0.397733,        -0.268500,         0.002496,         0.001679,         1.486790,         0.465730,         0.309736,         1.503636,         0.078656,         0.045895,         1.713806,         0.866220,         0.067663,        12.802052,        -0.008325,         0.032774,        -0.254019,         4.255414,         4.282046,        -0.026632,        -0.501550,         0.886543,         0.192415,         0.000143
 1041, 1042, 956160.9585, 1947797.9903,        -2.058546,         1.379876,        -1.491834,        -0.123971,         0.030650,        -4.044764,         0.022484,         0.016065,         1.399527,         0.031906,         0.019772,         1.613670,         0.045740,         0.023093,         1.980687,         0.062697,         0.025902,         2.420573,         2.240903,         0.828343,         2.705283,         0.273035,         0.054267,         5.031302,       -17.319429,         2.518419,        -6.877104,         0.004097,         0.001138,         3.600941,         0.250561,         0.073938,         3.388801,         0.018004,         0.035651,         0.505010,         0.976722,         0.044573,        21.912618,        -0.101024,         0.027728,        -3.643410,         4.986772,         4.963938,         0.022834,         0.464612,         0.906442,         0.308182,         0.000230
 1042, 1043, 956232.6268, 1945770.4757,         8.995156,         1.449418,         6.206046,        -0.100497,         0.026855,        -3.742142,         0.043757,         0.016017,         2.731893,         0.027928,         0.016016,         1.743813,         0.007918,         0.026785,         0.295603,         0.065752,         0.025583,         2.570146,        -3.779485,         0.883846,        -4.276179,        -0.142445,         0.049644,        -2.869292,        -7.795518,         2.523719,        -3.088901,         0.001604,         0.001156,         1.387186,        -0.793387,         0.135912,        -5.837509,         0.186143,         0.066736,         2.789257,         0.889029,         0.042029,        21.152872,        -0.120096,         0.030351,        -3.956891,         4.721811,         4.774625,        -0.052814,        -0.992189,         0.856308,         0.188425,         0.000546
 1043, 1044, 956244.4532, 1942164.4215,         5.726944,         1.355318,         4.225535,        -0.123149,         0.027905,        -4.413235,         0.113167,         0.016631,         6.804414,        -0.016846,         0.017027,        -0.989375,        -0.042443,         0.030629,        -1.385696,        -0.027436,         0.025957,        -1.056977,        -1.697571,         0.714162,        -2.377010,        -0.007870,         0.036498,        -0.215635,        -5.523654,         1.168065,        -4.728891,         0.000878,         0.000920,         0.954050,        -0.123397,         0.161427,        -0.764412,         0.031003,         0.061823,         0.501484,         1.032992,         0.043051,        23.994619,        -0.069773,         0.030324,        -2.300906,         4.966142,         4.958490,         0.007652,         0.146032,         0.903028,         0.213636,         0.000014
 1044, 1045, 956289.9422, 1943096.4084,        10.100257,         1.387176,         7.281163,        -0.142182,         0.026781,        -5.308987,         0.105850,         0.016132,         6.561636,        -0.008900,         0.014654,        -0.607317,        -0.034349,         0.027827,        -1.234355,        -0.004775,         0.025035,        -0.190714,        -3.618182,         0.700912,        -5.162107,        -0.097296,         0.043938,        -2.214378,        -8.384435,         1.316775,        -6.367401,         0.002458,         0.000931,         2.640959,         0.137349,         0.200208,         0.686031,        -0.181000,         0.082510,        -2.193680,         0.994188,         0.042561,        23.359146,        -0.083759,         0.036631,        -2.286552,         4.718502,         4.693824,         0.024678,         0.467873,         0.891443,         0.203157,         0.000133
